"3","2020/11/23",1.18539,1.19061,1.18001,1.18409
"3","2020/11/20",1.18707,1.18909,1.18498,1.1862
"3","2020/11/19",1.18501,1.18825,1.18162,1.18761
"3","2020/11/18",1.18598,1.18911,1.18491,1.18549
"3","2020/11/17",1.18475,1.18938,1.18421,1.18615
"3","2020/11/16",1.18373,1.18690,1.18141,1.18555
"3","2020/11/13",1.18032,1.18372,1.17991,1.18328
"3","2020/11/12",1.17706,1.18232,1.17587,1.1805
"3","2020/11/11",1.18114,1.18327,1.17455,1.17787
"3","2020/11/10",1.18127,1.18434,1.17797,1.18163
"3","2020/11/09",1.18852,1.19197,1.17950,1.18117
"3","2020/11/06",1.18229,1.18906,1.17953,1.18771
"3","2020/11/05",1.17200,1.18597,1.17108,1.18296
"3","2020/11/04",1.17130,1.17695,1.16025,1.17245
"3","2020/11/03",1.16348,1.17399,1.16336,1.17203
"3","2020/11/02",1.16449,1.16557,1.16221,1.16389
"3","2020/10/30",1.16673,1.17043,1.16401,1.16477
"3","2020/10/29",1.17426,1.17589,1.16501,1.1672
"3","2020/10/28",1.17871,1.17896,1.17178,1.17469
"3","2020/10/27",1.18075,1.18389,1.17963,1.17976
"3","2020/10/26",1.18515,1.18558,1.18033,1.18095
"3","2020/10/23",1.18133,1.18646,1.17867,1.18627
"3","2020/10/22",1.18539,1.18669,1.18113,1.18187
"3","2020/10/21",1.18173,1.18807,1.18173,1.18587
"3","2020/10/20",1.17660,1.18408,1.17599,1.18234
"3","2020/10/19",1.17143,1.17938,1.17031,1.17708
"3","2020/10/16",1.17041,1.17461,1.16940,1.17148
"3","2020/10/15",1.17446,1.17578,1.16885,1.17074
"3","2020/10/14",1.17418,1.17711,1.17198,1.17465
"3","2020/10/13",1.18108,1.18151,1.17309,1.1746
"3","2020/10/12",1.18096,1.18267,1.17868,1.18132
"3","2020/10/09",1.17546,1.18289,1.17531,1.18279
"3","2020/10/08",1.17575,1.17816,1.17320,1.17582
"3","2020/10/07",1.17287,1.17819,1.17250,1.17638
"3","2020/10/06",1.17775,1.18077,1.17316,1.17319
"3","2020/10/05",1.17085,1.17976,1.17073,1.17858
"3","2020/10/02",1.17426,1.17465,1.16958,1.1716
"3","2020/10/01",1.17159,1.17698,1.17159,1.17453
"3","2020/09/30",1.17378,1.17550,1.16846,1.17213
"3","2020/09/29",1.16603,1.17455,1.16591,1.17421
